id,display_name,works_api_url,works_count,h_index,country_code
https://openalex.org/A5081390403,Ling‐Yun He,https://api.openalex.org/works?filter=author.id:A5081390403,299,36,CN
https://openalex.org/A5026648049,Roberto Navigli,https://api.openalex.org/works?filter=author.id:A5026648049,297,50,IT
https://openalex.org/A5077922339,José Francisco Rodrigues,https://api.openalex.org/works?filter=author.id:A5077922339,190,19,PT
https://openalex.org/A5037939325,Christoph Kemper,https://api.openalex.org/works?filter=author.id:A5037939325,157,15,DE
https://openalex.org/A5003774412,Shaozhang Niu,https://api.openalex.org/works?filter=author.id:A5003774412,112,14,CN
https://openalex.org/A5025355765,Thủy Nguyễn,https://api.openalex.org/works?filter=author.id:A5025355765,105,18,US
https://openalex.org/A5030259169,Jane L. Risen,https://api.openalex.org/works?filter=author.id:A5030259169,75,20,US
https://openalex.org/A5076861704,Antonio Perianes‐Rodríguez,https://api.openalex.org/works?filter=author.id:A5076861704,70,14,ES
https://openalex.org/A5040666820,Jessica D. Remedios,https://api.openalex.org/works?filter=author.id:A5040666820,65,18,US
https://openalex.org/A5022812952,Giulia Maria Dotti Sani,https://api.openalex.org/works?filter=author.id:A5022812952,53,15,MY
https://openalex.org/A5041787344,Bradley Walker,https://api.openalex.org/works?filter=author.id:A5041787344,38,8,AU
https://openalex.org/A5021776381,Anna-Léa Kahn,https://api.openalex.org/works?filter=author.id:A5021776381,33,11,CH
https://openalex.org/A5030264950,Howard M. Reisman,https://api.openalex.org/works?filter=author.id:A5030264950,16,11,US
